# Quran surah metadata, derived from Tanzil Project quran-data.js.
# Fields: number|start_ayah_offset|ayah_count|arabic_name|transliteration|english_meaning|revelation
# Quran text source and license: Tanzil Project, https://tanzil.net
1|0|7|الفاتحة|Al-Faatiha|The Opening|Meccan
2|7|286|البقرة|Al-Baqara|The Cow|Medinan
3|293|200|آل عمران|Aal-i-Imraan|The Family of Imraan|Medinan
4|493|176|النساء|An-Nisaa|The Women|Medinan
5|669|120|المائدة|Al-Maaida|The Table|Medinan
6|789|165|الأنعام|Al-An'aam|The Cattle|Meccan
7|954|206|الأعراف|Al-A'raaf|The Heights|Meccan
8|1160|75|الأنفال|Al-Anfaal|The Spoils of War|Medinan
9|1235|129|التوبة|At-Tawba|The Repentance|Medinan
10|1364|109|يونس|Yunus|Jonas|Meccan
11|1473|123|هود|Hud|Hud|Meccan
12|1596|111|يوسف|Yusuf|Joseph|Meccan
13|1707|43|الرعد|Ar-Ra'd|The Thunder|Medinan
14|1750|52|ابراهيم|Ibrahim|Abraham|Meccan
15|1802|99|الحجر|Al-Hijr|The Rock|Meccan
16|1901|128|النحل|An-Nahl|The Bee|Meccan
17|2029|111|الإسراء|Al-Israa|The Night Journey|Meccan
18|2140|110|الكهف|Al-Kahf|The Cave|Meccan
19|2250|98|مريم|Maryam|Mary|Meccan
20|2348|135|طه|Taa-Haa|Taa-Haa|Meccan
21|2483|112|الأنبياء|Al-Anbiyaa|The Prophets|Meccan
22|2595|78|الحج|Al-Hajj|The Pilgrimage|Medinan
23|2673|118|المؤمنون|Al-Muminoon|The Believers|Meccan
24|2791|64|النور|An-Noor|The Light|Medinan
25|2855|77|الفرقان|Al-Furqaan|The Criterion|Meccan
26|2932|227|الشعراء|Ash-Shu'araa|The Poets|Meccan
27|3159|93|النمل|An-Naml|The Ant|Meccan
28|3252|88|القصص|Al-Qasas|The Stories|Meccan
29|3340|69|العنكبوت|Al-Ankaboot|The Spider|Meccan
30|3409|60|الروم|Ar-Room|The Romans|Meccan
31|3469|34|لقمان|Luqman|Luqman|Meccan
32|3503|30|السجدة|As-Sajda|The Prostration|Meccan
33|3533|73|الأحزاب|Al-Ahzaab|The Clans|Medinan
34|3606|54|سبإ|Saba|Sheba|Meccan
35|3660|45|فاطر|Faatir|The Originator|Meccan
36|3705|83|يس|Yaseen|Yaseen|Meccan
37|3788|182|الصافات|As-Saaffaat|Those drawn up in Ranks|Meccan
38|3970|88|ص|Saad|The letter Saad|Meccan
39|4058|75|الزمر|Az-Zumar|The Groups|Meccan
40|4133|85|غافر|Al-Ghaafir|The Forgiver|Meccan
41|4218|54|فصلت|Fussilat|Explained in detail|Meccan
42|4272|53|الشورى|Ash-Shura|Consultation|Meccan
43|4325|89|الزخرف|Az-Zukhruf|Ornaments of gold|Meccan
44|4414|59|الدخان|Ad-Dukhaan|The Smoke|Meccan
45|4473|37|الجاثية|Al-Jaathiya|Crouching|Meccan
46|4510|35|الأحقاف|Al-Ahqaf|The Dunes|Meccan
47|4545|38|محمد|Muhammad|Muhammad|Medinan
48|4583|29|الفتح|Al-Fath|The Victory|Medinan
49|4612|18|الحجرات|Al-Hujuraat|The Inner Apartments|Medinan
50|4630|45|ق|Qaaf|The letter Qaaf|Meccan
51|4675|60|الذاريات|Adh-Dhaariyat|The Winnowing Winds|Meccan
52|4735|49|الطور|At-Tur|The Mount|Meccan
53|4784|62|النجم|An-Najm|The Star|Meccan
54|4846|55|القمر|Al-Qamar|The Moon|Meccan
55|4901|78|الرحمن|Ar-Rahmaan|The Beneficent|Medinan
56|4979|96|الواقعة|Al-Waaqia|The Inevitable|Meccan
57|5075|29|الحديد|Al-Hadid|The Iron|Medinan
58|5104|22|المجادلة|Al-Mujaadila|The Pleading Woman|Medinan
59|5126|24|الحشر|Al-Hashr|The Exile|Medinan
60|5150|13|الممتحنة|Al-Mumtahana|She that is to be examined|Medinan
61|5163|14|الصف|As-Saff|The Ranks|Medinan
62|5177|11|الجمعة|Al-Jumu'a|Friday|Medinan
63|5188|11|المنافقون|Al-Munaafiqoon|The Hypocrites|Medinan
64|5199|18|التغابن|At-Taghaabun|Mutual Disillusion|Medinan
65|5217|12|الطلاق|At-Talaaq|Divorce|Medinan
66|5229|12|التحريم|At-Tahrim|The Prohibition|Medinan
67|5241|30|الملك|Al-Mulk|The Sovereignty|Meccan
68|5271|52|القلم|Al-Qalam|The Pen|Meccan
69|5323|52|الحاقة|Al-Haaqqa|The Reality|Meccan
70|5375|44|المعارج|Al-Ma'aarij|The Ascending Stairways|Meccan
71|5419|28|نوح|Nooh|Noah|Meccan
72|5447|28|الجن|Al-Jinn|The Jinn|Meccan
73|5475|20|المزمل|Al-Muzzammil|The Enshrouded One|Meccan
74|5495|56|المدثر|Al-Muddaththir|The Cloaked One|Meccan
75|5551|40|القيامة|Al-Qiyaama|The Resurrection|Meccan
76|5591|31|الانسان|Al-Insaan|Man|Medinan
